conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.91359E+18,Sat Apr 19 14:03:17 +0000 2025,0,Alasannya Efesiensi Anggaran. Tapi Realitasnya karna Beda Pilihan Pas Pilkada Jadi Honorer ini yang gak memilih bupati yg sekarang SK nya gak akan diperpanjang. Gapapa soal perpanjangan SK tapi Dzolimnya mereka gak membayar gaji Para Honorer dari Januari - Maret.,1.91359E+18,,haloramadhan,in,,0,1,0,https://x.com/haloramadhan/status/1913594253529264191,1.61686E+18,haloramadhan
1.91244E+18,Thu Apr 17 06:11:48 +0000 2025,1,@hardye76 Kebijakan kebijakan nya tidak melalui kajian ilmiah jd banyak yg mangkrak MBG mulai kelihatan benang kusut nya efesiensi anggaran carut marut .. tarif listrik naik turun kaya kolor,1.91275E+18,,hardye76,in,"Cirebon, Jawa Barat",0,0,1,https://x.com/Mulyadisae03/status/1912750824536854866,1.77266E+18,Mulyadisae03
1.91274E+18,Thu Apr 17 05:47:45 +0000 2025,0,efesiensi anggaran + gak ribet butuh banyak tukang = org rab senyam senyum ,1.91274E+18,,,in,safe place ,0,0,0,https://x.com/bloomgiseokgi/status/1912744772260733024,1.59748E+18,bloomgiseokgi
1.91236E+18,Thu Apr 17 02:47:58 +0000 2025,0,@ekokuntadhi1 Anggaran sudah efesiensi MBG juga kagak jelas terus dana efesiensi itu lari kemana?,1.9127E+18,,ekokuntadhi1,in,,0,0,0,https://x.com/TheRingOfFire7/status/1912699527234203913,1.33559E+18,TheRingOfFire7
1.91256E+18,Wed Apr 16 17:46:41 +0000 2025,0,SORRY NIIHH YAAAA EMANG ANGGARAN LU EFESIENSI MULU GDKEDBKD ,1.91256E+18,,,in,,0,0,0,https://x.com/Vazyvlay/status/1912563309733462408,1.08402E+18,Vazyvlay
1.91241E+18,Wed Apr 16 07:52:25 +0000 2025,0,how can nunggak mbg dan efesiensi jd term yg berlawanan. they said that efesiensi anggaran /dgn merumahkan pekerja-motong anggaran berbagai sektor/ terjadi sejak program MBG dimulai. tapi ternyata dana MBG pun nunggak? like where's all the money dear mr &amp; mrs pejabat?,1.91241E+18,,,in,,0,0,0,https://x.com/SweetFleur_/status/1912413759085101182,1.3554E+18,SweetFleur_
1.91241E+18,Wed Apr 16 07:41:29 +0000 2025,0,Efesiensi anggaran tengah dilakukan secara nasional. Wamendes PDT A Riza Patria menekankan pentingnya pendekatan hexahelix yang merupakan sinergi antara 6 pihak. @A_rizapatria @YandriSusanto @kemendespdt #BangunDesaBangunIndonesia https://t.co/afnANhP1eV,1.91241E+18,https://pbs.twimg.com/media/Goo_rI_WcAArSOj.jpg,,in,"Indramayu, Indonesia",0,0,0,https://x.com/MuhajirinJ10433/status/1912411005063479446,1.81792E+18,MuhajirinJ10433
1.9124E+18,Wed Apr 16 07:07:08 +0000 2025,33,Efesiensi anggaran tengah dilakukan secara nasional. Wamendes PDT A Riza Patria menekankan pentingnya pendekatan hexahelix yang merupakan sinergi antara 6 pihak. https://t.co/LempkRd5HS,1.9124E+18,https://pbs.twimg.com/media/Goo3zxMXoAAyCZT.jpg,,in,"DKI Jakarta, Indonesia",1,1,17,https://x.com/kemendespdt/status/1912402362205106473,802380540,kemendespdt
1.91236E+18,Wed Apr 16 04:01:55 +0000 2025,0,HARUSNYA NEGARA BERJALAN NORMAL SAJA GAK PERLU ADA EFESIENSI ANGGARAN... YG TERPENTING ADALAH KETEGASAN PEMERINTAH DALAM MEMBERANTAS KORUPTOR!!. AKAR PERMASALAHAN NEGARA INI HANYALAH HUKUM YG LEMAH PEJABAT TINGGI YG KORUP INSTITUSI HUKUM KORUP HINGGA SEMUANYA IKUT KORUP..,1.91236E+18,,,in,"Serpong, Indonesia",0,0,0,https://x.com/M17522147/status/1912355751819194741,8.91884E+17,M17522147
1.91234E+18,Wed Apr 16 03:09:48 +0000 2025,0,Katanya efesiensi anggaran tapi bikin ini bikin itu yg menghabiskan anggaran. Sudahlah menghabiskan anggaran berpotensi rugi pula https://t.co/y4Ms44BtAz,1.91234E+18,,,in,Indonesia,0,0,0,https://x.com/WingDirgantara2/status/1912342633835556995,1.60446E+18,WingDirgantara2
