conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment_pakar
1.94E+18,Sat Jul 05 14:10:35 +0000 2025,1,@Boediantar4 Klo disebut efisiensi bisa jadi bus mewah lengkap fasilitas Tetapi efisiensi anggaran ya atau tidak Mau bilang pencitraan rasa tak tege terus ape lagi kiranye ,1.94E+18,,Boediantar4,in,,0,0,0,https://x.com/undefined/status/1941499954725519393,1.82E+18,,negatif
1.94E+18,Sat Jul 05 14:07:16 +0000 2025,0,Hahahaha Boros anggaran efisiensi ndasmu !!!,1.94E+18,,,tl,,0,0,0,https://x.com/undefined/status/1941499120100966658,1978790995,,negatif
1.94E+18,Sat Jul 05 14:01:08 +0000 2025,0, Chain berbasis app seperti dYdX dan Injective bangun chain khusus untuk efisiensi tinggi. #BybitIndonesia #AppChain,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1941497577003941946,903730254,,positif
1.94E+18,Sat Jul 05 13:59:42 +0000 2025,0,@LahrianSyahilla Produksi meningkat efisiensi tercapai lingkungan pun lebih terjaga. Mantap Pertamina!,1.94E+18,,LahrianSyahilla,in,,0,0,0,https://x.com/undefined/status/1941497217275318764,1.38E+18,,positif
1.94E+18,Sat Jul 05 13:56:20 +0000 2025,0,@crwwelworld @unicelounge Katanya efisiensi tp kok renov2 yg gak perlu,1.94E+18,,crwwelworld,in,,0,0,0,https://x.com/undefined/status/1941496371300925745,1.17E+18,,negatif
1.94E+18,Sat Jul 05 13:55:50 +0000 2025,0,Yang efisiensi kan yg anggarannya dikit harusnya motong dari yg paling gede lah. Ini yg anggaran dikit makin dikit yg udah gede makin gede ya ga heran makin defisit ,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1941496242674266301,1.58E+18,,negatif
1.94E+18,Sat Jul 05 13:52:34 +0000 2025,0,@txtdrimedia oh ini efisiensi anggaran ya,1.94E+18,,txtdrimedia,in,,0,0,0,https://x.com/undefined/status/1941495420544483779,1052403548,,netral
1.94E+18,Sat Jul 05 13:52:06 +0000 2025,0,@ardisatriawan kalo kementriannya dan lembaganya gemuk ya efisiensi itu hanya semu,1.94E+18,,ardisatriawan,in,,0,0,0,https://x.com/undefined/status/1941495306090418577,969544471,,negatif
1.94E+18,Sat Jul 05 13:45:47 +0000 2025,0, dYdX = perp DEX terbesar dengan orderbook model. Pindah ke chain sendiri untuk efisiensi. #BybitIndonesia #dYdX,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1941493713425006841,903730254,,positif
1.94E+18,Sat Jul 05 13:41:32 +0000 2025,0,@tetanggasebelh Ini 750rb 15 orang kena efisiensi sih,1.94E+18,,tetanggasebelh,in,,0,1,0,https://x.com/undefined/status/1941492645819453583,1.54E+18,,negatif
